Sections Found,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,,,,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute,,,
SR,10267,ACC,344,0,MS1,3,Principles of Taxation,M,10:00 am-11:15 am,25,2,23,99,0,99,0,0,0,Howard Bunsis (P),08/30-12/17,ONLINE,,,,
,,,,,,,,W,10:00 am-11:15 am,,,,,,,,,,Howard Bunsis (P),08/30-11/17,TBA,,,,
,,,,,,,,W,10:00 am-11:15 am,,,,,,,,,,Howard Bunsis (P),12/01-12/01,ONLINE,,,,
,,,,,,,,W,11:00 am-11:15 am,,,,,,,,,,Howard Bunsis (P),12/08-12/08,ONLINE,,,,
SR,13619,ACC,344,10,M1,3,Principles of Taxation,R,06:30 pm-09:10 pm,15,0,15,99,0,99,25,0,25,TBA,08/30-12/17,TBA,,,,
SR,10220,ACC,356,0,M1,3,Accounting Information Systems,MW,01:00 pm-02:15 pm,25,0,25,99,0,99,0,0,0,Lois S Mahoney (P),08/30-12/17,TBA,,,,
SR,10409,ACC,356,10,OA1,3,Accounting Information Systems,,TBA,25,0,25,99,0,99,0,0,0,Lois S Mahoney (P),08/30-12/17,ONLINE,,,,
SR,10779,ACC,442,0,MA1,3,Advanced Cost Accounting,,TBA,20,1,19,99,0,99,0,0,0,Jens A Stephan (P),08/30-12/17,ONLINE,,,,
,,,,,,,,W,06:30 pm-09:10 pm,,,,,,,,,,Jens A Stephan (P),09/01-09/01,TBA,,,,
,,,,,,,,W,06:30 pm-09:10 pm,,,,,,,,,,Jens A Stephan (P),09/15-09/15,TBA,,,,
,,,,,,,,W,06:30 pm-09:10 pm,,,,,,,,,,Jens A Stephan (P),09/29-09/29,TBA,,,,
,,,,,,,,W,06:30 pm-09:10 pm,,,,,,,,,,Jens A Stephan (P),10/13-10/13,TBA,,,,
,,,,,,,,W,06:30 pm-09:10 pm,,,,,,,,,,Jens A Stephan (P),10/27-10/27,TBA,,,,
,,,,,,,,W,06:30 pm-09:10 pm,,,,,,,,,,Jens A Stephan (P),11/10-11/10,TBA,,,,
,,,,,,,,W,06:30 pm-09:10 pm,,,,,,,,,,Jens A Stephan (P),12/01-12/01,TBA,,,,
SR,10286,ACC,450,0,OS1,3,Internal Auditing,T,06:30 pm-09:10 pm,15,0,15,99,0,99,25,0,25,D Robert Okopny (P),08/30-12/17,ONLINE,,,,
SR,12504,ACC,450,10,OS1,3,Internal Auditing,TR,05:00 pm-06:15 pm,15,0,15,99,0,99,25,0,25,D Robert Okopny (P),08/30-12/17,ONLINE,,,,
SR,12057,ACC,460,0,OS1,3,Principles of Fraud Examinatio,R,06:30 pm-09:10 pm,15,0,15,99,0,99,25,0,25,D Robert Okopny (P),08/30-12/17,ONLINE,,,,
SR,11317,ACC,489L4,0,M1,3,Internship,,TBA,1,0,1,0,0,0,0,0,0,TBA,08/30-12/17,TBA,Gen Ed Lrng Beyond Clsrm,,,
SR,11084,ACC,496W,0,M1,3,Financial Mgmt&Controllership,MW,11:30 am-12:45 pm,20,1,19,99,0,99,0,0,0,Randall J Hucks (P),08/30-12/17,TBA,Writing Intensive,,,
SR,11113,ACC,496W,10,M1,3,Financial Mgmt&Controllership,M,06:30 pm-09:10 pm,20,0,20,99,0,99,0,0,0,Randall J Hucks (P),08/30-12/17,TBA,Writing Intensive,,,
SR,13858,ACC,499,0,M1,3,Independent Study,,TBA,1,0,1,0,0,0,0,0,0,TBA,08/30-12/17,TBA,,,,
SR,10521,ACC,501,0,MA5,3,Accounting Principles,,TBA,25,0,25,99,0,99,0,0,0,Susan W Martin (P),08/30-12/17,ONLINE,,,,
,,,,,,,,W,06:30 pm-09:10 pm,,,,,,,,,,Susan W Martin (P),09/01-09/01,TBA,,,,
,,,,,,,,W,06:30 pm-09:10 pm,,,,,,,,,,Susan W Martin (P),09/22-09/22,TBA,,,,
,,,,,,,,W,06:30 pm-09:10 pm,,,,,,,,,,Susan W Martin (P),10/27-10/27,TBA,,,,
,,,,,,,,W,06:30 pm-09:10 pm,,,,,,,,,,Susan W Martin (P),12/01-12/01,TBA,,,,
